Abbotsford,3067,-Lou7XfzKVwiCs2d4fk7
Aberfeldie,3040,-Lou7Xg-rh3YV3RyUzvF
Aintree,3336,-Lou7Xg-rh3YV3RyUzvG
Airport West,3042,-Lou7Xg-rh3YV3RyUzvH
Albanvale,3021,-Lou7Xg-rh3YV3RyUzvI
Albert Park,3206,-Lou7Xg0c09eszZUtJlo
Albion,3020,-Lou7Xg0c09eszZUtJlp
Alphington,3078,-Lou7Xg0c09eszZUtJlq
Altona,3018,-Lou7Xg0c09eszZUtJlr
Altona Meadows,3028,-Lou7Xg0c09eszZUtJls
Altona North,3025,-Lou7Xg0c09eszZUtJlt
Ardeer,3022,-Lou7Xg0c09eszZUtJlu
Armadale,3143,-Lou7Xg0c09eszZUtJlv
Arthurs Seat,3936,-Lou7Xg0c09eszZUtJlw
Ascot Vale,3032,-Lou7Xg1UrsyUlSfahvr
Ashburton,3147,-Lou7Xg1UrsyUlSfahvs
Ashwood,3147,-Lou7Xg1UrsyUlSfahvt
Aspendale,3195,-Lou7Xg1UrsyUlSfahvu
Aspendale Gardens,3195,-Lou7Xg1UrsyUlSfahvv
Attwood,3049,-Lou7Xg1UrsyUlSfahvw
Avondale Heights,3034,-Lou7Xg1UrsyUlSfahvx
Avonsleigh,3782,-Lou7Xg1UrsyUlSfahvy
Badger Creek,3777,-Lou7Xg1UrsyUlSfahvz
Balaclava,3183,-Lou7Xg1UrsyUlSfahw-
Balnarring,3926,-Lou7Xg1UrsyUlSfahw0
Balnarring Beach,3926,-Lou7Xg2N8fHaSyKaLx6
Balwyn,3103,-Lou7Xg2N8fHaSyKaLx7
Balwyn North,3104,-Lou7Xg2N8fHaSyKaLx8
Bangholme,3175,-Lou7Xg2N8fHaSyKaLx9
Baxter,3911,-Lou7Xg2N8fHaSyKaLxA
Bayles,3981,-Lou7Xg2N8fHaSyKaLxB
Bayswater,3153,-Lou7Xg2N8fHaSyKaLxC
Bayswater North,3153,-Lou7Xg2N8fHaSyKaLxD
Beaconsfield,3807,-Lou7Xg2N8fHaSyKaLxE
Beaconsfield Upper,3808,-Lou7Xg2N8fHaSyKaLxF
Beaumaris,3193,-Lou7Xg3IUsjrCiPZ56Q
Beenak,3139,-Lou7Xg3IUsjrCiPZ56R
Belgrave,3160,-Lou7Xg3IUsjrCiPZ56S
Belgrave Heights,3160,-Lou7Xg3IUsjrCiPZ56T
Belgrave South,3160,-Lou7Xg3IUsjrCiPZ56U
Bellfield,3081,-Lou7Xg3IUsjrCiPZ56V
Bend of Islands,3097,-Lou7Xg3IUsjrCiPZ56W
Bentleigh,3204,-Lou7Xg3IUsjrCiPZ56X
Bentleigh East,3165,-Lou7Xg3IUsjrCiPZ56Y
Berwick,3806,-Lou7Xg3IUsjrCiPZ56Z
Beveridge,3753,-Lou7Xg3IUsjrCiPZ56_
Big Pats Creek,3799,-Lou7Xg4qo3WXL9G7SER
Bittern,3918,-Lou7Xg4qo3WXL9G7SES
Black Rock,3193,-Lou7Xg4qo3WXL9G7SET
Blackburn,3130,-Lou7Xg4qo3WXL9G7SEU
Blackburn North,3130,-Lou7Xg4qo3WXL9G7SEV
Blackburn South,3130,-Lou7Xg4qo3WXL9G7SEW
Blairgowrie,3942,-Lou7Xg4qo3WXL9G7SEX
Blind Bight,3980,-Lou7Xg4qo3WXL9G7SEY
Bonbeach,3196,-Lou7Xg4qo3WXL9G7SEZ
Boneo,3939,-Lou7Xg4qo3WXL9G7SE_
Bonnie Brook,3335,-Lou7Xg4qo3WXL9G7SEa
Boronia,3155,-Lou7Xg4qo3WXL9G7SEb
Botanic Ridge,3977,-Lou7Xg4qo3WXL9G7SEc
Box Hill,3128,-Lou7Xg5ioDZmmPaTLHR
Box Hill North,3129,-Lou7Xg5ioDZmmPaTLHS
Box Hill South,3128,-Lou7Xg5ioDZmmPaTLHT
Braeside,3195,-Lou7Xg5ioDZmmPaTLHU
Braybrook,3019,-Lou7Xg5ioDZmmPaTLHV
Briar Hill,3088,-Lou7Xg5ioDZmmPaTLHW
Brighton,3186,-Lou7Xg5ioDZmmPaTLHX
Brighton East,3187,-Lou7Xg5ioDZmmPaTLHY
Broadmeadows,3047,-Lou7Xg5ioDZmmPaTLHZ
Brookfield,3338,-Lou7Xg5ioDZmmPaTLH_
Brooklyn,3012,-Lou7Xg5ioDZmmPaTLHa
Brunswick,3056,-Lou7Xg5ioDZmmPaTLHb
Brunswick East,3057,-Lou7Xg6DfeKhn_1fZvQ
Brunswick West,3055,-Lou7Xg6DfeKhn_1fZvR
Bulla,3428,-Lou7Xg6DfeKhn_1fZvS
Bulleen,3105,-Lou7Xg6DfeKhn_1fZvT
Bundoora,3083,-Lou7Xg6DfeKhn_1fZvU
Bunyip,3815,-Lou7Xg6DfeKhn_1fZvV
Bunyip North,3815,-Lou7Xg6DfeKhn_1fZvW
Burnley,3121,-Lou7Xg6DfeKhn_1fZvX
Burnside,3023,-Lou7Xg6DfeKhn_1fZvY
Burnside Heights,3023,-Lou7Xg6DfeKhn_1fZvZ
Burwood,3125,-Lou7Xg6DfeKhn_1fZv_
Burwood East,3151,-Lou7Xg6DfeKhn_1fZva
Cairnlea,3023,-Lou7Xg6DfeKhn_1fZvb
Calder Park,3037,-Lou7Xg7FWQLen6GVZEj
Caldermeade,3984,-Lou7Xg7FWQLen6GVZEk
Cambarville,3779,-Lou7Xg7FWQLen6GVZEl
Camberwell,3124,-Lou7Xg7FWQLen6GVZEm
Campbellfield,3061,-Lou7Xg7FWQLen6GVZEn
Cannons Creek,3977,-Lou7Xg7FWQLen6GVZEo
Canterbury,3126,-Lou7Xg7FWQLen6GVZEp
Cape Schanck,3939,-Lou7Xg7FWQLen6GVZEq
Capel Sound,3940,-Lou7Xg7FWQLen6GVZEr
Cardinia,3978,-Lou7Xg7FWQLen6GVZEs
Carlton,3053,-Lou7Xg7FWQLen6GVZEt
Carlton North,3054,-Lou7Xg8YnHdELObJsgp
Carnegie,3163,-Lou7Xg8YnHdELObJsgq
Caroline Springs,3023,-Lou7Xg8YnHdELObJsgr
Carrum,3197,-Lou7Xg8YnHdELObJsgs
Carrum Downs,3201,-Lou7Xg8YnHdELObJsgt
Catani,3981,-Lou7Xg8YnHdELObJsgu
Caulfield,3162,-Lou7Xg8YnHdELObJsgv
Caulfield East,3145,-Lou7Xg8YnHdELObJsgw
Caulfield North,3161,-Lou7Xg8YnHdELObJsgx
Caulfield South,3162,-Lou7Xg8YnHdELObJsgy
Chadstone,3148,-Lou7Xg8YnHdELObJsgz
Chelsea,3196,-Lou7Xg8YnHdELObJsh-
Chelsea Heights,3196,-Lou7Xg8YnHdELObJsh0
Cheltenham,3192,-Lou7Xg9Rmm3MNcv63PU
Chirnside Park,3116,-Lou7Xg9Rmm3MNcv63PV
Christmas Hills,3775,-Lou7Xg9Rmm3MNcv63PW
Chum Creek,3777,-Lou7Xg9Rmm3MNcv63PX
Clarinda,3169,-Lou7Xg9Rmm3MNcv63PY
Clarkefield,3430,-Lou7Xg9Rmm3MNcv63PZ
Clayton,3168,-Lou7Xg9Rmm3MNcv63P_
Clayton South,3169,-Lou7Xg9Rmm3MNcv63Pa
Clematis,3782,-Lou7Xg9Rmm3MNcv63Pb
Clifton Hill,3068,-Lou7Xg9Rmm3MNcv63Pc
Clyde,3978,-Lou7Xg9Rmm3MNcv63Pd
Clyde North,3978,-Lou7Xg9Rmm3MNcv63Pe
Cobblebank,3338,-Lou7XgAL2cwIa9qENWM
Coburg,3058,-Lou7XgAL2cwIa9qENWN
Coburg North,3058,-Lou7XgAL2cwIa9qENWO
Cockatoo,3781,-Lou7XgAL2cwIa9qENWP
Cocoroc,3030,-Lou7XgAL2cwIa9qENWQ
Coldstream,3770,-Lou7XgAL2cwIa9qENWR
Collingwood,3066,-Lou7XgAL2cwIa9qENWS
Coolaroo,3048,-Lou7XgAL2cwIa9qENWT
Cora Lynn,3814,-Lou7XgAL2cwIa9qENWU
Cottles Bridge,3099,-Lou7XgAL2cwIa9qENWV
Craigieburn,3064,-Lou7XgAL2cwIa9qENWW
Cranbourne,3977,-Lou7XgAL2cwIa9qENWX
Cranbourne East,3977,-Lou7XgAL2cwIa9qENWY
Cranbourne North,3977,-Lou7XgAL2cwIa9qENWZ
Cranbourne South,3977,-Lou7XgB0c4rzzImBv7W
Cremorne,3121,-Lou7XgB0c4rzzImBv7X
Crib Point,3919,-Lou7XgB0c4rzzImBv7Y
Croydon,3136,-Lou7XgB0c4rzzImBv7Z
Croydon Hills,3136,-Lou7XgB0c4rzzImBv7_
Croydon North,3136,-Lou7XgB0c4rzzImBv7a
Croydon South,3136,-Lou7XgB0c4rzzImBv7b
Dallas,3047,-Lou7XgB0c4rzzImBv7c
Dalmore,3981,-Lou7XgB0c4rzzImBv7d
Dandenong,3175,-Lou7XgB0c4rzzImBv7e
Dandenong North,3175,-Lou7XgB0c4rzzImBv7f
Dandenong South,3175,-Lou7XgB0c4rzzImBv7g
Deanside,3336,-Lou7XgB0c4rzzImBv7h
Deepdene,3103,-Lou7XgCSAqqGBZ3AXqA
Deer Park,3023,-Lou7XgCSAqqGBZ3AXqB
Delahey,3037,-Lou7XgCSAqqGBZ3AXqC
Derrimut,3030,-Lou7XgCSAqqGBZ3AXqD
Devon Meadows,3977,-Lou7XgCSAqqGBZ3AXqE
Dewhurst,3809,-Lou7XgCSAqqGBZ3AXqF
Diamond Creek,3089,-Lou7XgCSAqqGBZ3AXqG
Diggers Rest,3427,-Lou7XgCSAqqGBZ3AXqH
Dingley Village,3172,-Lou7XgCSAqqGBZ3AXqI
Dixons Creek,3775,-Lou7XgCSAqqGBZ3AXqJ
Docklands,3008,-Lou7XgCSAqqGBZ3AXqK
Don Valley,3139,-Lou7XgCSAqqGBZ3AXqL
Doncaster,3108,-Lou7XgCSAqqGBZ3AXqM
Doncaster East,3109,-Lou7XgDN5Rsb-mDXBCB
Donvale,3111,-Lou7XgDN5Rsb-mDXBCC
Doreen,3754,-Lou7XgDN5Rsb-mDXBCD
Doveton,3177,-Lou7XgDN5Rsb-mDXBCE
Dromana,3936,-Lou7XgDN5Rsb-mDXBCF
Eaglemont,3084,-Lou7XgDN5Rsb-mDXBCG
East Melbourne,3002,-Lou7XgDN5Rsb-mDXBCH
Eden Park,3757,-Lou7XgDN5Rsb-mDXBCI
Edithvale,3196,-Lou7XgDN5Rsb-mDXBCJ
Elsternwick,3185,-Lou7XgDN5Rsb-mDXBCK
Eltham,3095,-Lou7XgDN5Rsb-mDXBCL
Eltham North,3095,-Lou7XgDN5Rsb-mDXBCM
Elwood,3184,-Lou7XgEkRxLKr6lCr-y
Emerald,3782,-Lou7XgEkRxLKr6lCr-z
Endeavour Hills,3802,-Lou7XgEkRxLKr6lCr0-
Epping,3076,-Lou7XgEkRxLKr6lCr00
Essendon,3040,-Lou7XgEkRxLKr6lCr01
Essendon Fields,3041,-Lou7XgEkRxLKr6lCr02
Essendon North,3041,-Lou7XgEkRxLKr6lCr03
Essendon West,3040,-Lou7XgEkRxLKr6lCr04
Eumemmerring,3177,-Lou7XgEkRxLKr6lCr05
Exford,3338,-Lou7XgEkRxLKr6lCr06
Eynesbury,3338,-Lou7XgEkRxLKr6lCr07
Fairfield,3078,-Lou7XgFAgnW1dlsw_Hw
Fawkner,3060,-Lou7XgFAgnW1dlsw_Hx
Fernshaw,3778,-Lou7XgFAgnW1dlsw_Hy
Ferntree Gully,3156,-Lou7XgFAgnW1dlsw_Hz
Ferny Creek,3786,-Lou7XgFAgnW1dlsw_I-
Fieldstone,3024,-Lou7XgFAgnW1dlsw_I0
Fingal,3939,-Lou7XgFAgnW1dlsw_I1
Fitzroy,3065,-Lou7XgFAgnW1dlsw_I2
Fitzroy North,3068,-Lou7XgFAgnW1dlsw_I3
Flemington,3031,-Lou7XgFAgnW1dlsw_I4
Flinders,3929,-Lou7XgFAgnW1dlsw_I5
Footscray,3011,-Lou7XgFAgnW1dlsw_I6
Forest Hill,3131,-Lou7XgG_9CyOOQvXPDL
Frankston,3199,-Lou7XgG_9CyOOQvXPDM
Frankston North,3200,-Lou7XgG_9CyOOQvXPDN
Frankston South,3199,-Lou7XgG_9CyOOQvXPDO
Fraser Rise,3336,-Lou7XgG_9CyOOQvXPDP
Gardenvale,3185,-Lou7XgG_9CyOOQvXPDQ
Gardenvale,3185,-Lou7XgG_9CyOOQvXPDR
Garfield,3814,-Lou7XgG_9CyOOQvXPDS
Garfield North,3814,-Lou7XgG_9CyOOQvXPDT
Gembrook,3783,-Lou7XgG_9CyOOQvXPDU
Gilderoy,3797,-Lou7XgG_9CyOOQvXPDV
Gladstone Park,3043,-Lou7XgG_9CyOOQvXPDW
Gladysdale,3797,-Lou7XgG_9CyOOQvXPDX
Glen Huntly,3163,-Lou7XgG_9CyOOQvXPDY
Glen Iris,3146,-Lou7XgHJAQlmj7zLPXi
Glen Waverley,3150,-Lou7XgHJAQlmj7zLPXj
Glenroy,3046,-Lou7XgHJAQlmj7zLPXk
Gowanbrae,3043,-Lou7XgHJAQlmj7zLPXl
Grangefields,3335,-Lou7XgHJAQlmj7zLPXm
Greensborough,3088,-Lou7XgHJAQlmj7zLPXn
Greenvale,3059,-Lou7XgHJAQlmj7zLPXo
Gruyere,3770,-Lou7XgHJAQlmj7zLPXp
Guys Hill,3807,-Lou7XgHJAQlmj7zLPXq
Hadfield,3046,-Lou7XgHJAQlmj7zLPXr
Hallam,3803,-Lou7XgHJAQlmj7zLPXs
Hampton,3188,-Lou7XgHJAQlmj7zLPXt
Hampton East,3188,-Lou7XgHJAQlmj7zLPXu
